名称,出现次数,出现列,涉及游戏,我建议,理由,你的处理(保留/删/改名)
アトリエ空機関,13,原画,9-nine-ここのつここのかここのいろ Episode.1 Miyako Kujo、9-nine-そらいろそらうたそらのおと Episode.2 Sora Nimi、9-nine-はるいろはるこいはるのかぜ Episode.3 Haruka Kousaka、Summer Pockets、かけぬけ★青春スパーキング、タマユラミライ、ハミダシクリエイティブ、フローラル・フローラブ、マルコと銀河竜、出会って5分は俺のもの！ 時間停止と不可避な運命、枯れない世界と終わる花、金色ラブリッチェ、銀色、遥か,保留,动画外包工作室，13 款常见署名，宽松保留,
ジズスタジオ,8,音乐,Phantom PHANTOM OF INFERNO、ひぐらしのなく頃に、ひぐらしのなく頃に解、刃鳴散らす、塵骸魔京、沙耶の唄、続・殺戮のジャンゴ —地獄の賞金首—、鬼哭街,保留,知名音乐厂牌 ZIZZ，业界常见署名,
有限会社 クワイア,4,音乐,Phantom PHANTOM OF INFERNO、創刻のアテリアル、戦女神ZERO、魔導巧殻 ～闇の月女神は導国で詠う～,保留,音乐公司 クワイア（Quaie）,
Team-OZ,3,音乐,まいてつ、ネコぱら vol.2 姉妹ネコのシュクレ、ネコぱら vol.3 ネコたちのアロマティゼ,保留,音乐团体,
H.B STUDIO,2,音乐,素晴らしき日々～不連続存在～、終ノ空 remake,保留,音乐团体，知名,
マッツミュージックスタジオ,2,音乐,赫炎のインガノック -What a beautiful people-、黄雷のガクトゥーン～What a shining braves～,保留,录音工作室，宽松保留,
BLUE DOOR RECORD,1,音乐,青い空のカミュ,保留,音乐厂牌,
NASH MUSIC LIBRARY,1,音乐,フラテルニテ,删,素材库，非署名,
SAM Free Music,1,音乐,ひまわり -Pebble in the Sky-,删,免费素材，非署名,
Sound Studio B,1,音乐,ピュア×コネクト,待定,无名录音室，可删可留,
Studio Charis Node,1,音乐,ハッピーライヴ ショウアップ！,保留,音乐团体（Charis Node）,
Team N.G.X,1,脚本,フラテルニテ,待定,企划团队，仅 1 款,
i.o.sound,1,音乐,スタディ§ステディ,保留,音乐团体,
"studio sync,beat system",1,音乐,まいてつ,保留,音乐团体 sync,
有限会社Factory Noise&AG,1,音乐,遥かに仰ぎ、麗しの,待定,公司名，仅 1 款,
有限会社リサイト,1,脚本,雪影 -setsuei-,待定,会社名，仅 1 款,
